,Date,Total Hours,Dual Received,Pilot in Command,Day,Night,Cross-Country,Instrument,Day Landings,Night Landings,Work,Work Hours,Fly,Fly and Work
0,6/1/2021,2.3,2.3,0.0,2.3,0,0.0,0.0,7,0,No,0.0,Yes,No
1,6/2/2021,2.5,2.5,0.0,2.5,0,0.0,0.0,10,0,Yes,3.56,Yes,Yes
2,6/3/2021,2.2,2.2,0.0,2.2,0,0.0,0.0,8,0,No,0.0,Yes,No
3,6/4/2021,1.0,1.0,0.0,1.0,0,0.0,0.0,8,0,No,0.0,Yes,No
4,6/5/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,6.44,No,No
5,6/7/2021,2.5,2.5,0.0,2.5,0,0.0,0.0,11,0,Yes,4.34,Yes,Yes
6,6/8/2021,3.1,3.1,0.0,3.1,0,0.0,0.0,9,0,Yes,7.11,Yes,Yes
7,6/9/2021,1.3,1.3,0.0,1.3,0,0.0,0.0,7,0,Yes,3.23,Yes,Yes
8,6/11/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,5.34,No,No
9,6/12/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,6.22,No,No
10,6/16/2021,2.0,2.0,0.0,2.0,0,0.0,0.0,8,0,No,0.0,Yes,No
11,6/17/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,3.12,No,No
12,6/18/2021,1.5,1.5,0.0,1.5,0,0.0,0.0,6,0,Yes,6.41,Yes,Yes
13,6/19/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,6.35,No,No
14,6/21/2021,2.6,2.6,0.0,2.6,0,0.0,0.0,8,0,No,0.0,Yes,No
15,6/22/2021,2.6,2.6,0.0,2.6,0,0.0,0.0,10,0,No,0.0,Yes,No
16,6/24/2021,2.1,2.1,0.0,2.1,0,0.0,0.0,9,0,Yes,4.29,Yes,Yes
17,6/25/2021,2.8,2.8,0.0,2.8,0,0.0,0.0,12,0,Yes,7.11,Yes,Yes
18,6/26/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,4.47,No,No
19,6/28/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,3.44,No,No
20,6/29/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,8.12,No,No
21,6/30/2021,1.5,1.5,1.5,0.0,0,0.0,1.0,2,0,No,0.0,Yes,No
22,7/1/2021,2.4,0.0,2.4,2.4,0,2.4,0.0,3,0,No,0.0,Yes,No
23,7/2/2021,0.0,0.0,0.0,0.0,0,1.9,0.0,0,0,Yes,7.47,No,No
24,7/3/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,7.45,No,No
25,7/5/2021,1.9,0.0,1.9,1.9,0,0.0,0.0,3,0,No,0.0,Yes,No
26,7/6/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,7.25,No,No
27,7/7/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,7.11,No,No
28,7/8/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,4.15,No,No
29,7/9/2021,2.6,2.6,0.0,2.6,0,0.0,0.0,8,0,No,0.0,Yes,No
30,7/10/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,7.25,No,No
31,7/12/2021,2.6,2.6,0.0,2.6,0,0.0,0.0,1,0,No,0.0,Yes,No
32,7/13/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,7.2,No,No
33,7/14/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,3.49,No,No
34,7/15/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,4.19,No,No
35,7/16/2021,2.6,2.6,0.0,2.6,0,0.0,0.0,8,0,No,0.0,Yes,No
36,7/17/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,7.15,No,No
37,7/18/2021,1.4,0.0,1.4,1.4,0,0.0,0.0,5,0,Yes,5.34,Yes,Yes
38,7/19/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,7.53,No,No
39,7/20/2021,1.6,1.6,0.0,1.6,0,0.0,0.0,6,0,Yes,7.43,Yes,Yes
40,7/21/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,6.29,No,No
41,7/22/2021,1.8,,0.0,1.8,0,0.0,0.0,6,0,No,0.0,Yes,No
42,7/24/2021,2.5,2.5,0.0,2.5,0,0.0,0.0,12,0,No,0.0,Yes,No
43,7/25/2021,1.4,1.4,0.0,1.4,0,0.0,0.0,6,0,Yes,7.47,Yes,Yes
44,7/26/2021,1.8,1.8,0.0,1.8,0,0.0,0.0,7,0,Yes,6.33,Yes,Yes
45,7/28/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,8.1,No,No
46,7/29/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,6.8,No,No
47,7/30/2021,1.7,1.7,0.0,1.7,0,0.0,0.0,10,0,No,0.0,Yes,No
48,8/1/2021,1.4,1.4,0.0,1.4,0,0.0,0.0,8,0,Yes,6.39,Yes,Yes
49,8/2/2021,1.5,1.5,0.0,1.5,0,0.0,0.0,4,0,No,0.0,Yes,No
50,8/3/2021,4.0,4.0,4.0,2.0,2,4.0,3.0,0,2,Yes,7.16,Yes,Yes
51,8/4/2021,2.8,2.8,2.8,2.8,0,2.8,2.8,2,0,Yes,6.55,Yes,Yes
52,8/5/2021,1.4,1.4,1.4,1.4,0,0.0,1.4,1,0,No,0.0,Yes,No
53,8/7/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,7.57,No,No
54,8/8/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,6.59,No,No
55,8/9/2021,5.5,5.5,5.5,3.5,2,5.5,4.3,3,1,No,0.0,Yes,No
56,8/10/2021,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,Yes,5.58,No,No
